Obszar|Free|Plus|AI Pro
Liczba akwariów|1 aktywne|3 aktywne|Bez limitu
Parametry wody|Podstawowe|Pełne|Pełne
Historia|30 dni|Pełna|Pełna
Wykresy parametrów|Brak|Wykres liniowy parametrów|Wykres + średnia, liczba pomiarów, zmiana i trendy
Alerty|Podstawowe + krytyczne|Rozszerzone|Zaawansowane / smart
Katalogi|Podstawowe|Pełne|Pełne
Obsada|Podstawowa kompatybilność|Zaawansowana kompatybilność|Zaawansowana + rekomendacje
Sprzęt|Podstawowa ocena|Pełna ocena|Pełna + rekomendacje
Glony|Katalog|Diagnoza|Diagnoza + plan
Choroby ryb|Katalog|Diagnoza|Diagnoza + plan
Choroby roślin|Katalog|Diagnoza|Diagnoza + plan
Zadania|Ręczne|Automatyczne|Automatyczne
Trendy|Brak|Podstawowe|Zaawansowane
Plan działania|Brak|Zaawansowany|Smart
AI / Asystent|Brak|Brak|Tak
