Kategoria|Funkcja|Free|Plus|AI Pro|Uwagi
Konto i dostęp|Logowanie e-mail i hasłem|Logowanie standardowe|Logowanie standardowe|Logowanie standardowe|Brak różnic między planami.
Konto i dostęp|Rejestracja konta|Utworzenie konta użytkownika|Utworzenie konta użytkownika|Utworzenie konta użytkownika|Brak różnic między planami.
Konto i dostęp|Logowanie Google|Logowanie przez Google|Logowanie przez Google|Logowanie przez Google|Brak różnic między planami.
Konto i dostęp|Wylogowanie i utrzymanie sesji|Sesja użytkownika i wylogowanie|Sesja użytkownika i wylogowanie|Sesja użytkownika i wylogowanie|Brak różnic między planami.
Konto i dostęp|Zarządzanie planem|Możliwość przejścia na plan płatny|Status planu, zmiana i przywrócenie zakupu|Status planu, zmiana i przywrócenie zakupu|Plus w kodzie to Premium, AI Pro w kodzie to Pro.
Konto i dostęp|Zgody na funkcje AI|Nie dotyczy - AI niedostępne|Nie dotyczy - AI niedostępne|Zgoda wymagana przy korzystaniu z AI|Zgody AI warto pokazywać dopiero tam, gdzie użytkownik może realnie użyć AI.
Akwaria|Liczba aktywnych akwariów|1 aktywne akwarium|3 aktywne akwaria|Bez limitu aktywnych akwariów|Najważniejszy limit planu Free i Plus.
Akwaria|Kreator dodawania akwarium|Kreator konfiguracji jednego akwarium|Kreator konfiguracji do 3 akwariów|Kreator konfiguracji bez limitu akwariów|Zakres zależy od limitu liczby akwariów.
Akwaria|Profil akwarium|Podstawowe dane: litraż, wymiary, temperatura, pokrywa|Pełny profil dla każdego akwarium|Pełny profil dla każdego akwarium bez limitu|Brak różnic w samych polach profilu.
Akwaria|Typ akwarium / profil docelowy|Wybór typu dla jednego akwarium|Wybór typu dla wielu akwariów|Wybór typu dla dowolnej liczby akwariów|Np. ogólne, roślinne, Malawi, Tanganika, krewetkarium.
Akwaria|Zakresy docelowe parametrów wody|Zakresy docelowe dla jednego akwarium|Zakresy docelowe dla wielu akwariów|Zakresy docelowe bez limitu akwariów|Cele pomagają interpretować pomiary.
Akwaria|Wybór aktywnego akwarium|Przełączanie niepotrzebne przy 1 akwarium|Przełączanie między maks. 3 akwariami|Przełączanie między dowolną liczbą akwariów|Aplikacja zapamiętuje aktywne akwarium.
Pomiary i historia|Dodawanie pomiarów wody|Dodawanie pomiarów podstawowych|Dodawanie pomiarów podstawowych i rozszerzonych|Dodawanie pomiarów podstawowych i rozszerzonych|Plus/AI Pro odblokowują większy zestaw parametrów.
Pomiary i historia|Edycja i usuwanie pomiarów|Edycja historii z ostatnich 30 dni|Edycja pełnej historii|Edycja pełnej historii|Limit historii dotyczy planu Free.
Pomiary i historia|Podstawowe parametry wody|pH, GH, KH, NO2, NO3, temperatura|pH, GH, KH, NO2, NO3, temperatura|pH, GH, KH, NO2, NO3, temperatura|Pakiet podstawowy jest w każdym planie.
Pomiary i historia|Rozszerzone parametry wody|Niedostępne|NH3/NH4, PO4, K, Ca, Mg, Fe, TDS, CO2|NH3/NH4, PO4, K, Ca, Mg, Fe, TDS, CO2|Rozszerzone testy są od Plusa.
Pomiary i historia|Historia pomiarów|Ostatnie 30 dni|Pełna historia|Pełna historia + trendy Pro|W Pro historia jest łączona z zaawansowanymi trendami.
